"dbn","school_name","year","total_enrollment","grade_pk_half_day_full_day","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","female_1","female_2","male_1","male_2","asian_1","asian_2","black_1","black_2","hispanic_1","hispanic_2","multiple_race_categories_not_represented_1","multiple_race_categories_not_represented_2","white_1","white_2","students_with_disabilities_1","students_with_disabilities_2","english_language_learners_1","english_language_learners_2","poverty_1","poverty_2","economic_need_index"
"01M015","P.S. 015 Roberto Clemente","2013-14","190","26","39","39","21","16","26","23","0","0","0","0","0","0","0","93","48.9","97","51.1","9","4.7","72","37.9","104","54.7","2","1.1","3","1.6","65","34.2","19","10.0","171","90.0","No Data"
"01M015","P.S. 015 Roberto Clemente","2014-15","183","18","27","47","31","19","17","24","0","0","0","0","0","0","0","84","45.9","99","54.1","8","4.4","65","35.5","107","58.5","1","0.5","2","1.1","64","35.0","17","9.3","169","92.3","93.5%"
"01M015","P.S. 015 Roberto Clemente","2015-16","176","14","32","33","39","23","17","18","0","0","0","0","0","0","0","83","47.2","93","52.8","9","5.1","57","32.4","105","59.7","3","1.7","2","1.1","60","34.1","16","9.1","149","84.7","89.6%"
"01M015","P.S. 015 Roberto Clemente","2016-17","178","17","28","33","27","31","24","18","0","0","0","0","0","0","0","83","46.6","95","53.4","14","7.9","51","28.7","105","59.0","4","2.2","4","2.2","51","28.7","12","6.7","152","85.4","89.2%"
"01M015","P.S. 015 Roberto Clemente","2017-18","190","17","28","32","33","23","31","26","0","0","0","0","0","0","0","99","52.1","91","47.9","20","10.5","52","27.4","110","57.9","2","1.1","6","3.2","45","23.7","8","4.2","161","84.7","89.0%"
"01M019","P.S. 019 Asher Levy","2013-14","285","36","39","38","36","45","47","44","0","0","0","0","0","0","0","141","49.5","144","50.5","41","14.4","56","19.6","148","51.9","10","3.5","30","10.5","89","31.2","25","8.8","213","74.7","No Data"
"01M019","P.S. 019 Asher Levy","2014-15","270","30","44","40","39","35","40","42","0","0","0","0","0","0","0","132","48.9","138","51.1","30","11.1","47","17.4","158","58.5","8","3.0","27","10.0","82","30.4","18","6.7","200","74.1","60.9%"
"01M019","P.S. 019 Asher Levy","2015-16","270","21","47","43","41","43","35","40","0","0","0","0","0","0","0","125","46.3","145","53.7","27","10.0","55","20.4","169","62.6","3","1.1","16","5.9","82","30.4","13","4.8","217","80.4","63.0%"
"01M019","P.S. 019 Asher Levy","2016-17","271","24","37","46","47","40","43","34","0","0","0","0","0","0","0","127","46.9","144","53.1","24","8.9","51","18.8","180","66.4","1","0.4","15","5.5","88","32.5","9","3.3","207","76.4","58.2%"
"01M019","P.S. 019 Asher Levy","2017-18","257","13","34","38","42","46","42","42","0","0","0","0","0","0","0","114","44.4","143","55.6","23","8.9","49","19.1","166","64.6","3","1.2","16","6.2","87","33.9","8","3.1","197","76.7","67.2%"
"01M020","P.S. 020 Anna Silver","2013-14","631","54","114","111","98","109","71","74","0","0","0","0","0","0","0","305","48.3","326","51.7","223","35.3","54","8.6","314","49.8","16","2.5","24","3.8","144","22.8","104","16.5","448","71.0","No Data"
"01M020","P.S. 020 Anna Silver","2014-15","633","51","102","108","100","98","104","70","0","0","0","0","0","0","0","301","47.6","332","52.4","231","36.5","53","8.4","309","48.8","15","2.4","25","3.9","144","22.7","120","19.0","411","64.9","72.7%"
"01M020","P.S. 020 Anna Silver","2015-16","581","46","82","90","98","92","81","92","0","0","0","0","0","0","0","277","47.7","304","52.3","204","35.1","46","7.9","286","49.2","21","3.6","24","4.1","123","21.2","88","15.1","353","60.8","68.3%"
"01M020","P.S. 020 Anna Silver","2016-17","540","41","83","83","92","95","77","69","0","0","0","0","0","0","0","265","49.1","275","50.9","175","32.4","52","9.6","264","48.9","22","4.1","27","5.0","116","21.5","93","17.2","315","58.3","68.0%"
"01M020","P.S. 020 Anna Silver","2017-18","497","34","71","82","69","89","83","69","0","0","0","0","0","0","0","244","49.1","253","50.9","147","29.6","51","10.3","264","53.1","19","3.8","16","3.2","114","22.9","86","17.3","356","71.6","79.2%"
"01M034","P.S. 034 Franklin D. Roosevelt","2013-14","393","18","33","32","35","34","45","43","43","57","53","0","0","0","0","196","49.9","197","50.1","26","6.6","108","27.5","246","62.6","1","0.3","12","3.1","129","32.8","25","6.4","373","94.9","No Data"
"01M034","P.S. 034 Franklin D. Roosevelt","2014-15","395","18","40","32","29","35","32","44","63","43","59","0","0","0","0","199","50.4","196","49.6","25","6.3","110","27.8","245","62.0","1","0.3","14","3.5","119","30.1","26","6.6","381","96.5","86.0%"
"01M034","P.S. 034 Franklin D. Roosevelt","2015-16","394","18","33","41","30","27","36","33","64","62","50","0","0","0","0","200","50.8","194","49.2","18","4.6","113","28.7","249","63.2","0","0.0","14","3.6","122","31.0","29","7.4","384","97.5","86.1%"
"01M034","P.S. 034 Franklin D. Roosevelt","2016-17","350","13","21","24","37","31","29","36","38","59","62","0","0","0","0","170","48.6","180","51.4","19","5.4","102","29.1","216","61.7","2","0.6","11","3.1","130","37.1","27","7.7","348","99.4","86.8%"
"01M034","P.S. 034 Franklin D. Roosevelt","2017-18","333","13","25","18","22","47","35","36","38","41","58","0","0","0","0","150","45.0","183","55.0","11","3.3","106","31.8","204","61.3","3","0.9","9","2.7","122","36.6","25","7.5","325","97.6","93.9%"
"01M063","The STAR Academy - P.S.63","2013-14","179","18","40","33","26","23","20","19","0","0","0","0","0","0","0","93","52.0","86","48.0","13","7.3","45","25.1","101","56.4","3","1.7","17","9.5","59","33.0","8","4.5","145","81.0","No Data"
"01M063","The STAR Academy - P.S.63","2014-15","199","25","35","34","38","25","21","21","0","0","0","0","0","0","0","98","49.2","101","50.8","14","7.0","41","20.6","124","62.3","0","0.0","20","10.1","68","34.2","7","3.5","166","83.4","68.8%"
"01M063","The STAR Academy - P.S.63","2015-16","203","15","47","42","35","28","19","17","0","0","0","0","0","0","0","100","49.3","103","50.7","9","4.4","40","19.7","131","64.5","2","1.0","21","10.3","65","32.0","6","3.0","172","84.7","69.3%"
"01M063","The STAR Academy - P.S.63","2016-17","200","22","38","37","28","28","26","21","0","0","0","0","0","0","0","97","48.5","103","51.5","8","4.0","37","18.5","129","64.5","5","2.5","21","10.5","66","33.0","5","2.5","165","82.5","67.9%"
"01M063","The STAR Academy - P.S.63","2017-18","203","26","40","29","36","22","23","27","0","0","0","0","0","0","0","100","49.3","103","50.7","6","3.0","37","18.2","128","63.1","8","3.9","24","11.8","67","33.0","2","1.0","166","81.8","75.9%"
"01M064","P.S. 064 Robert Simon","2013-14","287","33","39","40","46","48","38","43","0","0","0","0","0","0","0","124","43.2","163","56.8","17","5.9","65","22.6","173","60.3","5","1.7","27","9.4","99","34.5","19","6.6","259","90.2","No Data"
"01M064","P.S. 064 Robert Simon","2014-15","282","33","35","39","44","43","46","42","0","0","0","0","0","0","0","120","42.6","162","57.4","20","7.1","51","18.1","185","65.6","5","1.8","21","7.4","93","33.0","18","6.4","266","94.3","83.3%"
"01M064","P.S. 064 Robert Simon","2015-16","258","20","36","39","37","35","43","48","0","0","0","0","0","0","0","105","40.7","153","59.3","19","7.4","49","19.0","169","65.5","2","0.8","19","7.4","85","32.9","15","5.8","240","93.0","82.4%"
"01M064","P.S. 064 Robert Simon","2016-17","247","21","46","34","37","33","32","44","0","0","0","0","0","0","0","104","42.1","143","57.9","13","5.3","48","19.4","167","67.6","3","1.2","16","6.5","81","32.8","10","4.0","239","96.8","83.0%"
"01M064","P.S. 064 Robert Simon","2017-18","245","35","27","44","37","30","36","36","0","0","0","0","0","0","0","101","41.2","144","58.8","11","4.5","51","20.8","167","68.2","3","1.2","13","5.3","71","29.0","5","2.0","223","91.0","87.6%"
"01M110","P.S. 110 Florence Nightingale","2013-14","416","36","63","85","56","74","56","46","0","0","0","0","0","0","0","201","48.3","215","51.7","57","13.7","40","9.6","183","44.0","20","4.8","116","27.9","70","16.8","20","4.8","221","53.1","No Data"
"01M110","P.S. 110 Florence Nightingale","2014-15","419","35","54","68","80","54","72","56","0","0","0","0","0","0","0","203","48.4","216","51.6","54","12.9","41","9.8","186","44.4","16","3.8","122","29.1","68","16.2","9","2.1","217","51.8","47.3%"
"01M110","P.S. 110 Florence Nightingale","2015-16","394","29","47","50","60","88","54","66","0","0","0","0","0","0","0","188","47.7","206","52.3","63","16.0","39","9.9","170","43.1","16","4.1","106","26.9","63","16.0","5","1.3","213","54.1","48.8%"
"01M110","P.S. 110 Florence Nightingale","2016-17","383","32","62","54","50","59","76","50","0","0","0","0","0","0","0","179","46.7","204","53.3","70","18.3","37","9.7","161","42.0","10","2.6","105","27.4","55","14.4","20","5.2","221","57.7","49.7%"
"01M110","P.S. 110 Florence Nightingale","2017-18","379","30","64","52","55","48","57","73","0","0","0","0","0","0","0","166","43.8","213","56.2","64","16.9","37","9.8","168","44.3","11","2.9","99","26.1","47","12.4","14","3.7","235","62.0","57.5%"
"01M134","P.S. 134 Henrietta Szold","2013-14","318","33","41","38","53","46","49","58","0","0","0","0","0","0","0","152","47.8","166","52.2","84","26.4","63","19.8","162","50.9","0","0.0","9","2.8","89","28.0","47","14.8","294","92.5","No Data"
"01M134","P.S. 134 Henrietta Szold","2014-15","255","15","28","41","38","49","41","43","0","0","0","0","0","0","0","118","46.3","137","53.7","65","25.5","49","19.2","133","52.2","0","0.0","8","3.1","82","32.2","33","12.9","238","93.3","81.6%"
"01M134","P.S. 134 Henrietta Szold","2015-16","263","15","39","33","47","40","51","38","0","0","0","0","0","0","0","125","47.5","138","52.5","56","21.3","53","20.2","145","55.1","2","0.8","7","2.7","98","37.3","31","11.8","244","92.8","81.4%"
